Top 10 documents in the rank list
Query: 110 	 Pr: 0.10000 	 Re: 0.20000
Query: 111 	 Pr: 0.40000 	 Re: 0.50000
Query: 112 	 Pr: 0.20000 	 Re: 0.66667
Query: 113 	 Pr: 0.10000 	 Re: 0.20000
Query: 114 	 Pr: 0.20000 	 Re: 0.40000
Query: 115 	 Pr: 0.10000 	 Re: 0.20000
Query: 116 	 Pr: 0.10000 	 Re: 0.16667
Query: 117 	 Pr: 0.00000 	 Re: 0.00000
Query: 118 	 Pr: 0.10000 	 Re: 0.25000
Query: 119 	 Pr: 0.10000 	 Re: 0.50000
Query: 120 	 Pr: 0.60000 	 Re: 0.60000
Query: 121 	 Pr: 0.40000 	 Re: 0.50000
Query: 122 	 Pr: 0.50000 	 Re: 0.50000
Query: 123 	 Pr: 0.20000 	 Re: 0.66667
Query: 124 	 Pr: 0.10000 	 Re: 0.20000
Query: 125 	 Pr: 0.30000 	 Re: 0.16667
Query: 126 	 Pr: 0.30000 	 Re: 0.33333
Query: 127 	 Pr: 0.20000 	 Re: 0.33333
Query: 128 	 Pr: 0.10000 	 Re: 0.33333
Query: 129 	 Pr: 0.40000 	 Re: 0.50000
Query: 130 	 Pr: 0.50000 	 Re: 0.83333
Query: 131 	 Pr: 0.30000 	 Re: 0.33333
Query: 132 	 Pr: 0.70000 	 Re: 0.43750
Query: 133 	 Pr: 0.10000 	 Re: 0.12500
Query: 134 	 Pr: 0.20000 	 Re: 0.66667
Query: 135 	 Pr: 0.30000 	 Re: 0.33333
Query: 136 	 Pr: 0.20000 	 Re: 0.50000
Query: 137 	 Pr: 0.30000 	 Re: 0.60000
Query: 138 	 Pr: 0.20000 	 Re: 0.66667
Query: 139 	 Pr: 0.10000 	 Re: 0.20000
Query: 140 	 Pr: 0.30000 	 Re: 0.42857
Query: 141 	 Pr: 0.20000 	 Re: 0.28571
Query: 142 	 Pr: 0.10000 	 Re: 0.50000
Query: 143 	 Pr: 0.20000 	 Re: 0.66667
Query: 144 	 Pr: 0.60000 	 Re: 0.85714
Query: 145 	 Pr: 0.50000 	 Re: 0.62500
Query: 146 	 Pr: 0.30000 	 Re: 1.00000
Query: 147 	 Pr: 0.40000 	 Re: 0.36364
Query: 148 	 Pr: 0.40000 	 Re: 0.57143
Query: 149 	 Pr: 0.40000 	 Re: 0.33333
Query: 150 	 Pr: 0.30000 	 Re: 1.00000
Query: 151 	 Pr: 0.20000 	 Re: 0.33333
Query: 152 	 Pr: 0.10000 	 Re: 0.14286
Query: 153 	 Pr: 0.40000 	 Re: 0.50000
Query: 154 	 Pr: 0.20000 	 Re: 0.66667
Query: 155 	 Pr: 0.40000 	 Re: 0.57143
Query: 156 	 Pr: 0.80000 	 Re: 0.53333
Query: 157 	 Pr: 0.90000 	 Re: 0.22500
Query: 158 	 Pr: 0.20000 	 Re: 0.22222
Query: 159 	 Pr: 0.30000 	 Re: 0.33333
Query: 160 	 Pr: 0.20000 	 Re: 0.33333
Query: 161 	 Pr: 0.30000 	 Re: 0.42857
Query: 162 	 Pr: 0.10000 	 Re: 0.11111
Query: 163 	 Pr: 0.30000 	 Re: 0.75000
Query: 164 	 Pr: 0.50000 	 Re: 0.55556
Query: 165 	 Pr: 0.20000 	 Re: 0.66667
Query: 166 	 Pr: 0.10000 	 Re: 0.11111
Query: 167 	 Pr: 0.00000 	 Re: 0.00000
Query: 168 	 Pr: 0.20000 	 Re: 0.66667
Query: 169 	 Pr: 0.30000 	 Re: 0.60000
Query: 170 	 Pr: 0.60000 	 Re: 0.85714
Query: 171 	 Pr: 0.40000 	 Re: 1.00000
Query: 172 	 Pr: 0.50000 	 Re: 1.00000
Query: 173 	 Pr: 0.30000 	 Re: 1.00000
Query: 174 	 Pr: 0.30000 	 Re: 0.50000
Query: 175 	 Pr: 0.20000 	 Re: 0.33333
Query: 176 	 Pr: 0.10000 	 Re: 0.12500
Query: 177 	 Pr: 0.50000 	 Re: 0.83333
Query: 178 	 Pr: 0.40000 	 Re: 0.80000
Query: 179 	 Pr: 0.30000 	 Re: 0.60000
Query: 180 	 Pr: 0.40000 	 Re: 0.50000
Query: 181 	 Pr: 0.10000 	 Re: 0.16667
Query: 182 	 Pr: 0.30000 	 Re: 1.00000
Query: 183 	 Pr: 0.90000 	 Re: 0.64286
Query: 184 	 Pr: 0.00000 	 Re: 0.00000
Query: 185 	 Pr: 0.70000 	 Re: 0.70000
Query: 186 	 Pr: 0.50000 	 Re: 0.29412
Query: 187 	 Pr: 0.30000 	 Re: 0.42857
Query: 188 	 Pr: 0.50000 	 Re: 0.41667
Query: 189 	 Pr: 0.20000 	 Re: 0.20000
Query: 190 	 Pr: 0.30000 	 Re: 0.50000
Query: 191 	 Pr: 0.70000 	 Re: 0.50000
Query: 192 	 Pr: 0.40000 	 Re: 0.80000
Query: 193 	 Pr: 0.80000 	 Re: 0.80000
Query: 194 	 Pr: 0.30000 	 Re: 0.42857
Query: 195 	 Pr: 0.20000 	 Re: 0.50000
Query: 196 	 Pr: 0.50000 	 Re: 0.38462
Query: 197 	 Pr: 0.40000 	 Re: 1.00000
Query: 198 	 Pr: 0.20000 	 Re: 0.40000
Query: 199 	 Pr: 0.20000 	 Re: 0.22222
Query: 200 	 Pr: 0.20000 	 Re: 0.50000
Query: 201 	 Pr: 0.30000 	 Re: 0.17647
Query: 202 	 Pr: 0.50000 	 Re: 0.33333
Query: 203 	 Pr: 0.30000 	 Re: 0.20000
Query: 204 	 Pr: 0.20000 	 Re: 0.13333
Query: 205 	 Pr: 0.30000 	 Re: 1.00000
Query: 206 	 Pr: 0.30000 	 Re: 0.75000
Query: 207 	 Pr: 0.30000 	 Re: 0.50000
Query: 208 	 Pr: 0.70000 	 Re: 1.00000
Query: 209 	 Pr: 0.40000 	 Re: 0.30769
Query: 210 	 Pr: 0.30000 	 Re: 0.42857
Query: 211 	 Pr: 0.20000 	 Re: 0.16667
Query: 212 	 Pr: 0.50000 	 Re: 0.33333
Query: 213 	 Pr: 0.60000 	 Re: 0.50000
Query: 214 	 Pr: 0.20000 	 Re: 0.40000
Query: 215 	 Pr: 0.10000 	 Re: 0.33333
Query: 216 	 Pr: 0.00000 	 Re: 0.00000
Query: 217 	 Pr: 0.50000 	 Re: 0.31250
Query: 218 	 Pr: 0.30000 	 Re: 0.18750
Query: 219 	 Pr: 0.20000 	 Re: 0.10526
Query: 220 	 Pr: 0.30000 	 Re: 0.15000
Query: 221 	 Pr: 0.40000 	 Re: 0.21053
Query: 222 	 Pr: 0.70000 	 Re: 0.70000
Query: 223 	 Pr: 0.20000 	 Re: 0.40000
Query: 224 	 Pr: 0.10000 	 Re: 0.11111
Query: 225 	 Pr: 0.30000 	 Re: 0.12000
Avg Precision: 0.30844
Avg Recall: 0.44004

Top 50 documents in the rank list
Query: 1 	 Pr: 0.26000 	 Re: 0.44828
Query: 2 	 Pr: 0.14000 	 Re: 0.28000
Query: 3 	 Pr: 0.18000 	 Re: 1.00000
Query: 4 	 Pr: 0.06000 	 Re: 1.00000
Query: 5 	 Pr: 0.08000 	 Re: 0.80000
Query: 6 	 Pr: 0.06000 	 Re: 0.60000
Query: 7 	 Pr: 0.08000 	 Re: 0.66667
Query: 8 	 Pr: 0.16000 	 Re: 0.66667
Query: 9 	 Pr: 0.08000 	 Re: 1.00000
Query: 10 	 Pr: 0.10000 	 Re: 0.55556
Query: 11 	 Pr: 0.14000 	 Re: 0.87500
Query: 12 	 Pr: 0.10000 	 Re: 0.83333
Query: 13 	 Pr: 0.02000 	 Re: 0.20000
Query: 14 	 Pr: 0.04000 	 Re: 0.66667
Query: 15 	 Pr: 0.04000 	 Re: 0.66667
Query: 16 	 Pr: 0.04000 	 Re: 0.50000
Query: 17 	 Pr: 0.04000 	 Re: 0.66667
Query: 18 	 Pr: 0.06000 	 Re: 0.75000
Query: 19 	 Pr: 0.04000 	 Re: 0.20000
Query: 20 	 Pr: 0.20000 	 Re: 1.00000
Query: 21 	 Pr: 0.08000 	 Re: 0.80000
Query: 22 	 Pr: 0.00000 	 Re: 0.00000
Query: 23 	 Pr: 0.30000 	 Re: 0.45455
Query: 24 	 Pr: 0.08000 	 Re: 1.00000
Query: 25 	 Pr: 0.16000 	 Re: 0.80000
Query: 26 	 Pr: 0.08000 	 Re: 0.57143
Query: 27 	 Pr: 0.06000 	 Re: 0.75000
Query: 28 	 Pr: 0.00000 	 Re: 0.00000
Query: 29 	 Pr: 0.14000 	 Re: 0.70000
Query: 30 	 Pr: 0.10000 	 Re: 0.62500
Query: 31 	 Pr: 0.02000 	 Re: 0.50000
Query: 32 	 Pr: 0.08000 	 Re: 0.57143
Query: 33 	 Pr: 0.08000 	 Re: 1.00000
Query: 34 	 Pr: 0.14000 	 Re: 1.00000
Query: 35 	 Pr: 0.04000 	 Re: 0.50000
Query: 36 	 Pr: 0.04000 	 Re: 0.66667
Query: 37 	 Pr: 0.14000 	 Re: 0.70000
Query: 38 	 Pr: 0.04000 	 Re: 0.18182
Query: 39 	 Pr: 0.14000 	 Re: 0.50000
Query: 40 	 Pr: 0.06000 	 Re: 0.23077
Query: 41 	 Pr: 0.08000 	 Re: 1.00000
Query: 42 	 Pr: 0.10000 	 Re: 0.83333
Query: 43 	 Pr: 0.12000 	 Re: 0.85714
Query: 44 	 Pr: 0.00000 	 Re: 0.00000
Query: 45 	 Pr: 0.16000 	 Re: 0.61538
Query: 46 	 Pr: 0.20000 	 Re: 0.62500
Query: 47 	 Pr: 0.24000 	 Re: 0.80000
Query: 48 	 Pr: 0.08000 	 Re: 0.33333
Query: 49 	 Pr: 0.06000 	 Re: 1.00000
Query: 50 	 Pr: 0.04000 	 Re: 0.28571
Query: 51 	 Pr: 0.16000 	 Re: 0.72727
Query: 52 	 Pr: 0.10000 	 Re: 1.00000
